id,name,team,pos,game,points,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,performnce,ball_handling,b_strength,b_weakedness
593,Gary Payton II,GSW,SG,19,6,17,2,5,0.49,0,1,0.24,1,2,0.16,1,2,3,1,2,1,1,0,1,average,1.0,fgp,pFouls
631,Alex Caruso,CHI,SG,23,9,22,3,6,0.53,1,1,0.39,2,3,0.42,1,2,3,2,2,1,1,1,-3,low,1.0,tpp,pFouls
727,Jarrett Allen,CLE,C,17,13,28,5,8,0.68,2,3,0.6,0,0,0.0,3,5,8,2,3,1,2,1,1,average,0.0,fgp,pFouls
743,Bogdan Bogdanovic,ATL,SG,25,15,26,5,12,0.46,1,1,0.39,3,7,0.39,0,3,4,2,2,1,1,0,3,average,1.0,tpp,pFouls
765,Torrey Craig,CHI,SF,28,6,21,2,5,0.44,0,1,0.22,1,3,0.35,2,3,5,1,3,1,1,0,-3,low,1.0,tpp,pFouls
743,Bogdan Bogdanovic,ATL,SG,25,15,26,5,12,0.46,1,1,0.39,3,7,0.39,0,3,4,2,2,1,1,0,3,average,1.0,tpp,pFouls
765,Torrey Craig,CHI,SF,28,6,21,2,5,0.44,0,1,0.22,1,3,0.35,2,3,5,1,3,1,1,0,-3,low,1.0,tpp,pFouls
817,Maxi Kleber,DAL,PF,7,3,17,1,3,0.29,1,2,0.36,1,2,0.15,1,3,4,1,1,0,1,0,-2,average,1.0,totReb,steals
819,Luke Kornet,BOS,C,20,4,14,2,2,0.64,1,1,0.31,0,0,0.0,1,2,3,1,1,0,1,1,-1,average,1.0,fgp,tpp
840,Donovan Mitchell,CLE,SG,20,26,34,9,20,0.44,5,6,0.85,3,8,0.33,1,4,6,5,2,2,3,0,2,average,0.0,steals,turnovers
850,Frank Ntilikina,CHA,PG,4,3,16,1,6,0.2,0,0,0.0,0,3,0.13,0,1,2,3,1,1,1,0,-11,low,1.0,steals,fgp
851,Royce O'Neale,BKN,PF,24,8,28,3,7,0.36,0,1,0.19,2,6,0.36,1,4,5,3,3,1,1,1,2,average,1.0,tpp,pFouls
882,Jayson Tatum,BOS,SF,24,26,35,9,19,0.49,5,6,0.77,3,8,0.36,1,8,9,4,2,1,3,0,8,high,0.0,totReb,turnovers
886,Daniel Theis,IND,C,12,7,17,3,6,0.39,1,1,0.29,0,1,0.25,2,2,4,1,3,0,1,1,0,average,1.0,tpp,pFouls
897,Derrick White,BOS,PG,22,14,31,5,10,0.48,3,3,0.7,2,6,0.39,1,3,4,5,2,1,2,1,10,high,0.5,assists,turnovers
931,Marvin Bagley III,DET,PF,24,10,18,4,7,0.58,2,3,0.55,0,0,0.1,2,3,5,1,2,0,1,0,-1,average,0.75,fgp,pFouls
940,Mikal Bridges,BKN,SF,24,22,33,8,17,0.48,4,4,0.73,2,6,0.39,1,5,6,4,2,1,2,0,2,average,0.5,ftp,turnovers
949,Jevon Carter,CHI,PG,28,5,15,2,5,0.33,0,0,0.07,1,3,0.35,0,1,1,1,1,1,1,0,-1,average,0.75,tpp,ftp
963,Luka Doncic,DAL,PG,21,31,35,11,22,0.48,6,8,0.77,4,10,0.38,1,7,8,9,2,1,4,0,3,average,0.0,assists,turnovers
970,Wenyen Gabriel,BOS,F,3,2,8,1,3,0.44,0,1,0.17,0,0,0.0,1,1,3,0,3,0,1,0,-1,average,0.75,fgp,pFouls
987,Kevin Knox II,POR,SF,9,8,17,3,6,0.51,0,1,0.22,1,3,0.45,1,2,3,0,2,1,1,0,-2,average,0.75,tpp,pFouls
1006,Svi Mykhailiuk,BOS,SG,11,5,10,2,4,0.32,0,0,0.18,1,3,0.28,0,1,1,0,1,0,1,0,2,average,0.75,tpp,totReb
1014,Michael Porter Jr.,DEN,SF,23,18,32,7,14,0.49,1,1,0.39,3,7,0.38,2,6,8,2,2,0,1,1,4,high,0.75,totReb,pFouls
1025,Zhaire Smith,CLE,G,3,1,7,0,2,0.0,1,1,0.33,0,1,0.0,0,2,2,1,1,1,0,0,5,high,1.0,steals,fgp
1038,Lonnie Walker IV,BKN,G,21,15,21,5,11,0.48,2,2,0.57,2,5,0.43,0,2,3,2,1,1,1,0,4,high,0.75,tpp,totReb
1046,Trae Young,ATL,PG,23,25,33,8,19,0.4,7,8,0.83,3,8,0.33,1,2,3,10,1,2,4,0,2,average,0.0,assists,turnovers
1055,Amida Brimah,DEN,C,2,3,4,1,1,0.5,1,2,0.5,0,0,0.0,0,2,2,0,1,0,0,0,2,average,1.0,fgp,tpp
1847,Darius Bazley,BKN,PF,3,6,20,2,5,0.55,1,1,0.33,1,2,0.44,1,5,6,2,1,1,3,0,10,high,0.25,tpp,turnovers
